Timestamp,Gender,Age,exercise_pre,type_exercise_pre,time_pre,low_intens_pre,social_workout_pre,days_exercise_lock,type_exercise_lock,diff_exercise,time_lock,low_intens_lock,social_workout_lock,motivation_diff,social_circle_exercise,zz,moderate_intens_pre,high_intens_pre,moderate_intens_lock,high_intens_lock,xx,yy
27/04/2021 13.51.43,Kvinde,23,5,"Gåture, Løb, Cykling, Styrketræning, Holdtræning (online, løbeklub, fitnesshold), yoga, Hjemmetræning",4-5 timer,25-50%,2,4,"Gåture, Løb, Hjemmetræning",Det har været nogenlunde det sammen,3-4 timer,25-50%,2,3,Ja,,25-50%,1-25%,1-25%,1-25%,,
27/04/2021 14.02.31,Kvinde,26,6,"Gåture, Cykling, Holdtræning (online, løbeklub, fitnesshold), yoga",2-3 timer,1-25 %,2,2,"Gåture, Løb, Holdtræning (fx online, løbeklub, fitnesshold)",Det har ikke været det samme,1-2 timer,1-25%,1,2,Nej,,25-50%,1-25%,1-25%,1-25%,,
27/04/2021 14.11.31,Kvinde,50,3,"Styrketræning, Holdtræning (online, løbeklub, fitnesshold), Havearbejde/Byggearbejde",3-4 timer,0%,3,4,"Løb, Vægttræning, Holdtræning (fx online, løbeklub, fitnesshold), Havearbejde/Byggearbejde",Det har ikke været det samme,3-4 timer,0%,4,5,Ja,,75-100%,1-25%,75-100%,1-25%,,
27/04/2021 14.13.17,Mand,25,1,Cykling,1-2 timer,25-50%,3,3,"Gåture, Løb, Cykling, Hjemmetræning",Det har været nogenlunde det sammen,2-3 timer,25-50%,3,3,Ja,,25-50%,25-50%,50-75%,50-75%,,
27/04/2021 14.15.56,Kvinde,22,4,"Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",4-5 timer,0%,0,4,"Gåture, Hjemmetræning",Det har ikke været det samme,2-3 timer,1-25%,0,2,Nej,,75-100%,0%,50-75%,0%,,
27/04/2021 14.36.28,Mand,24,7,"Gåture, Løb, Cykling, Styrketræning",Over 5 timer,1-25 %,3,4,"Gåture, Løb, Cykling, Vægttræning",Det har været nogenlunde det sammen,4-5 timer,1-25%,1,1,Ja,,25-50%,50-75%,25-50%,25-50%,,
27/04/2021 14.39.45,Kvinde,24,1,Gåture,Under 1 time,75-100%,0,3,"Gåture, Løb, Hjemmetræning",Det har været nogenlunde det sammen,3-4 timer,25-50%,2,4,Nej,,0%,0%,25-50%,0%,,
27/04/2021 14.43.07,Kvinde,28,2,"Gåture, Løb",1-2 timer,25-50%,1,2,"Gåture, Løb",Det har været nogenlunde det sammen,1-2 timer,25-50%,0,3,Nej,,25-50%,0%,25-50%,0%,,
27/04/2021 14.50.37,Mand,25,2,"Sportsgren (fx. fodbold, atletik, tennis)",3-4 timer,1-25 %,2,2,Vægttræning,Det har været nogenlunde det sammen,2-3 timer,25-50%,0,1,Ja,,50-75%,50-75%,25-50%,1-25%,,
27/04/2021 14.57.31,Mand,22,5,"Løb, Cykling, Hjemmetræning",2-3 timer,1-25 %,1,5,"Gåture, Vægttræning, Hjemmetræning",Det har ikke været det samme,2-3 timer,1-25%,2,4,Nej,,25-50%,1-25%,25-50%,25-50%,,
27/04/2021 15.11.30,Mand,22,2,Gåture,Under 1 time,50-75%,2,1,"Gåture, Hjemmetræning",Det har været nogenlunde det sammen,Under 1 time,50-75%,3,3,Ja,,1-25%,1-25%,1-25%,1-25%,,
27/04/2021 15.12.15,Kvinde,22,5,"Gåture, Løb, Cykling, Hjemmetræning",2-3 timer,1-25 %,0,3,"Gåture, Løb, Hjemmetræning",Det har været nogenlunde det sammen,2-3 timer,1-25%,2,4,Nej,,75-100%,0%,50-75%,0%,,
27/04/2021 15.20.02,Mand,25,1,"Gåture, Løb, Hjemmetræning",1-2 timer,25-50%,0,3,"Gåture, Løb, Hjemmetræning",Det har været nogenlunde det sammen,2-3 timer,1-25%,0,3,Nej,,25-50%,25-50%,25-50%,1-25%,,
27/04/2021 15.24.43,Kvinde,21,7,Gåture,1-2 timer,75-100%,2,7,Gåture,Det har ikke været det samme,4-5 timer,75-100%,3,4,Nej,,0%,0%,0%,0%,,
27/04/2021 15.29.10,Kvinde,44,3,"Gåture, Cykling, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",3-4 timer,1-25 %,2,4,"Gåture, Cykling, Vægttræning, Holdtræning (fx online, løbeklub, fitnesshold), Hjemmetræning",Det har været nogenlunde det sammen,4-5 timer,1-25%,4,5,Ja,,25-50%,50-75%,25-50%,50-75%,,
